# chesserazade magic bitboards
# format: section square magic(hex) mask(hex) shift(dec)
# generated by: chesserazade magics-gen

[rook]
g2 0x0100040228040444 0x0002040810200000 59
h2 0x4002108044022110 0x0004081020400000 59
a3 0x8040002202042100 0x0010080402000200 59
b3 0x0004000264041400 0x0020100804000400 59
c3 0x6008819008820088 0x004020100a000a00 57
d3 0x1148020220224005 0x0000402214001400 57
e3 0x8002028c12020800 0x0000024428002800 57
f3 0x2104c0a208024004 0x0002040850005000 57
g3 0x0904021041084902 0x0004081020002000 59
h3 0x1000800212011110 0x0008102040004000 59
a4 0x2912130040041800 0x0008040200020400 59
b4 0x201022a028080104 0x0010080400040800 59
c4 0x0204040202002408 0x0020100a000a1000 57
d4 0xa040040082021004 0x0040221400142200 55
e4 0x00410010c1004002 0x0002442800284400 55
f4 0x3010610082009200 0x0004085000500800 57
g4 0x3004008008421040 0x0008102000201000 59
h4 0x00010140020c6400 0x0010204000402000 59
a5 0x0042484080a00280 0x0004020002040800 59
b5 0x8009182024022434 0x0008040004081000 59
c5 0x8400209008280028 0x00100a000a102000 57
d5 0x0002004042140100 0x0022140014224000 55
e5 0x0004080200102008 0x0044280028440200 55
f5 0x0d212101031a0040 0x0008500050080400 57
g5 0x0001010403110400 0x0010200020100800 59
h5 0x00093c1022030502 0x0020400040201000 59
a6 0x490210028819a040 0x0002000204081000 59
b6 0x0124481228145000 0x0004000408102000 59
c6 0x8001040601011200 0x000a000a10204000 57
d6 0xc014022018000105 0x0014001422400000 57
e6 0x4090482104000840 0x0028002844020000 57
f6 0xc004009082000504 0x0050005008040200 57
g6 0x2020025082204104 0x0020002010080400 59
h6 0x00040c04084101a8 0x0040004020100800 59
a7 0x00009808021000a0 0x0000020408102000 59
b7 0x4e02240608842400 0x0000040810204000 59
c7 0x0a38010406920008 0x00000a1020400000 59
d7 0x44000a00208806b0 0x0000142240000000 59
e7 0x0000100803040000 0x0000284402000000 59
f7 0x0810080208020300 0x0000500804020000 59
g7 0x9009220c48020480 0x0000201008040200 59
h7 0x0020120260410140 0x0000402010080400 59
a8 0x3a81404848084000 0x0002040810204000 58
b8 0x0880404410a43020 0x0004081020400000 59
c8 0x0908000608420840 0x000a102040000000 59
d8 0x0000118000420e00 0x0014224000000000 59
e8 0x00009130c0504120 0x0028440200000000 59
f8 0xc410406043c20200 0x0050080402000000 59
g8 0xb414108208480080 0x0020100804020000 59
h8 0x0024903002048110 0x0040201008040200 58

